TAP_FILE_ID,SENDER_PLMN,SENDER_NAME,RECIPIENT_PLMN,RECIPIENT_NAME,EVENT_TYPE,IMSI,CHARGED_UNITS,CHARGE_SDR,TAX_SDR,EVENT_DATE,EVENT_AT,SETTLEMENT_STATUS
TAP-20260902-00643,00119,Quartz Mobile,00106,Fjord Telecom,MTC,001060000000002,14,2.3858,0.3579,2026-09-02,2026-09-02 04:28:40,ACCEPTED
TAP-20260902-00644,00112,Juniper Mobile,00101,Aurora Telecom,MTC,001010000000001,10,1.6602,0.2490,2026-09-02,2026-09-02 15:17:30,ACCEPTED
TAP-20260902-00645,00113,Kestrel Telecom,00104,Delta Cell,GPRS,001040000000001,348,3.5276,0.5291,2026-09-02,2026-09-02 17:30:05,ACCEPTED
TAP-20260902-00646,00106,Fjord Telecom,00119,Quartz Mobile,MTC,001190000000005,1,0.1798,0.0270,2026-09-02,2026-09-02 22:49:58,ACCEPTED
TAP-20260902-00647,00116,Northwind Mobile,00105,Ember Networks,GPRS,001050000000009,867,10.0103,1.5015,2026-09-02,2026-09-02 12:10:00,ACCEPTED
TAP-20260902-00648,00103,Cinder Wireless,00112,Juniper Mobile,GPRS,001120000000003,662,7.3000,1.0950,2026-09-02,2026-09-02 02:42:05,DISPUTED
TAP-20260902-00649,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000007,48,0.4910,0.0736,2026-09-02,2026-09-02 00:26:46,ACCEPTED
TAP-20260902-00650,00119,Quartz Mobile,00106,Fjord Telecom,MTC,001060000000015,14,2.3821,0.3573,2026-09-02,2026-09-02 17:51:49,ACCEPTED
TAP-20260902-00651,00102,Borealis Mobile,00114,Lumen Wireless,GPRS,001140000000013,891,9.3039,1.3956,2026-09-02,2026-09-02 16:14:46,ACCEPTED
TAP-20260902-00652,00102,Borealis Mobile,00114,Lumen Wireless,MTC,001140000000014,5,0.9078,0.1362,2026-09-02,2026-09-02 14:31:24,ACCEPTED
TAP-20260902-00653,00116,Northwind Mobile,00105,Ember Networks,SMS_MO,001050000000005,7,0.4275,0.0641,2026-09-02,2026-09-02 03:41:44,ACCEPTED
TAP-20260902-00654,00111,Ivory Cellular,00105,Ember Networks,GPRS,001050000000011,76,0.8741,0.1311,2026-09-02,2026-09-02 19:54:14,ACCEPTED
TAP-20260902-00655,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000012,172,1.9377,0.2907,2026-09-02,2026-09-02 05:04:26,ACCEPTED
TAP-20260902-00656,00111,Ivory Cellular,00101,Aurora Telecom,MOC,001010000000002,40,17.3954,2.6093,2026-09-02,2026-09-02 16:02:31,ACCEPTED
TAP-20260902-00657,00111,Ivory Cellular,00101,Aurora Telecom,MTC,001010000000012,14,2.4639,0.3696,2026-09-02,2026-09-02 22:49:54,ACCEPTED
TAP-20260902-00658,00111,Ivory Cellular,00105,Ember Networks,MTC,001050000000004,40,7.3391,1.1009,2026-09-02,2026-09-02 18:12:20,ACCEPTED
TAP-20260902-00659,00114,Lumen Wireless,00106,Fjord Telecom,MOC,001060000000007,36,14.6855,2.2028,2026-09-02,2026-09-02 17:34:32,ACCEPTED
TAP-20260902-00660,00107,Granite Mobile,00108,Harbor Wireless,SMS_MO,001080000000015,7,0.4175,0.0626,2026-09-02,2026-09-02 05:10:30,ACCEPTED
TAP-20260902-00661,00114,Lumen Wireless,00102,Borealis Mobile,MOC,001020000000005,8,3.3282,0.4992,2026-09-02,2026-09-02 11:04:34,ACCEPTED
TAP-20260902-00662,00116,Northwind Mobile,00105,Ember Networks,MTC,001050000000009,35,6.2833,0.9425,2026-09-02,2026-09-02 04:08:42,DISPUTED
TAP-20260902-00663,00119,Quartz Mobile,00106,Fjord Telecom,MTC,001060000000002,21,3.5559,0.5334,2026-09-02,2026-09-02 17:42:09,ACCEPTED
TAP-20260902-00664,00119,Quartz Mobile,00103,Cinder Wireless.,MOC,001030000000009,35,14.4447,2.1667,2026-09-02,2026-09-02 06:47:31,ACCEPTED
TAP-20260902-00665,00119,Quartz Mobile,00106,Fjord Telecom,MOC,001060000000012,26,11.1228,1.6684,2026-09-02,2026-09-02 02:56:56,ACCEPTED
TAP-20260902-00666,00106,Fjord Telecom,00119,Quartz Mobile,MOC,001190000000008,34,14.8228,2.2234,2026-09-02,2026-09-02 02:11:49,ACCEPTED
TAP-20260902-00667,00112,Juniper Mobile,00103,Cinder Wireless,MOC,001030000000007,36,14.5079,2.1762,2026-09-02,2026-09-02 05:49:39,ACCEPTED
TAP-20260902-00668,00108,Harbor Wireless,00107,Granite Mobile,SMS_MO,001070000000003,8,0.4923,0.0738,2026-09-02,2026-09-02 09:43:48,ACCEPTED
TAP-20260902-00669,00108,Harbor Wireless,00107,Granite Mobile,MOC,001070000000010,15,5.9233,0.8885,2026-09-02,2026-09-02 03:38:43,ACCEPTED
TAP-20260902-00670,00104,Delta Cell,00113,Kestrel Telecom,MOC,001130000000004,19,7.9053,1.1858,2026-09-02,2026-09-02 05:09:13,ACCEPTED
TAP-20260902-00671,00108,Harbor Wireless,00107,Granite Mobile,GPRS,001070000000011,548,6.4602,0.9690,2026-09-02,2026-09-02 10:35:15,ACCEPTED
TAP-20260902-00672,00116,Northwind Mobile,00105,Ember Networks,GPRS,001050000000010,773,9.0210,1.3532,2026-09-02,2026-09-02 11:51:59,ACCEPTED
TAP-20260902-00673,00104,Delta Cell,00113,Kestrel Telecom,MTC,001130000000013,34,5.8639,0.8796,2026-09-02,2026-09-02 14:04:52,ACCEPTED
TAP-20260902-00674,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000014,36,0.4163,0.0624,2026-09-02,2026-09-02 01:06:36,ACCEPTED
TAP-20260902-00675,00119,Quartz Mobile,00106,Fjord Telecom,MOC,001060000000015,5,2.1507,0.3226,2026-09-02,2026-09-02 18:54:45,ACCEPTED
TAP-20260902-00676,00112,Juniper Mobile,00101,Aurora Telecom,MOC,001010000000009,15,6.0000,0.9000,2026-09-02,2026-09-02 18:49:53,ACCEPTED
TAP-20260902-00677,00101,Aurora Telecom,00111,Ivory Cellular,GPRS,001110000000009,323,3.4375,0.5156,2026-09-02,2026-09-02 22:22:35,ACCEPTED
TAP-20260902-00678,00113,Kestrel Telecom,00104,Delta Cell,MOC,001040000000014,18,7.8751,1.1813,2026-09-02,2026-09-02 01:29:48,ACCEPTED
TAP-20260902-00679,00111,Ivory Cellular,00102,Borealis Mobile,GPRS,001020000000004,792,8.4516,1.2677,2026-09-02,2026-09-02 13:14:55,ACCEPTED
TAP-20260902-00680,00111,Ivory Cellular,00102,Borealis Mobile,GPRS,001020000000006,249,2.6916,0.4037,2026-09-02,2026-09-02 12:27:33,ACCEPTED
TAP-20260902-00681,00119,Quartz Mobile,00103,Cinder Wireless,SMS_MO,001030000000013,3,0.1661,0.0249,2026-09-02,2026-09-02 11:21:31,ACCEPTED
TAP-20260902-00682,00101,Aurora Telecom,00111,Ivory Cellular,MOC,001110000000005,36,14.5981,2.1897,2026-09-02,2026-09-02 05:43:52,ACCEPTED
TAP-20260902-00683,00116,Northwind Mobile,00101,Aurora Telecom,SMS_MO,001010000000005,8,0.4607,0.0691,2026-09-02,2026-09-02 01:40:59,ACCEPTED
TAP-20260902-00684,00111,Ivory Cellular,00102,Borealis Mobile,MOC,001020000000004,12,5.2375,0.7856,2026-09-02,2026-09-02 19:36:04,ACCEPTED
TAP-20260902-00685,00111,Ivory Cellular,00102,Borealis Mobile,MTC,001020000000006,28,5.0085,0.7513,2026-09-02,2026-09-02 17:40:23,ACCEPTED
TAP-20260902-00686,00104,Delta Cell,00113,Kestrel Telecom,MOC,001130000000005,19,8.1299,1.2195,2026-09-02,2026-09-02 21:05:43,ACCEPTED
TAP-20260902-00687,00116,Northwind Mobile,00103,CINDER WIRELESS,SMS_MO,001030000000007,7,0.4052,0.0608,2026-09-02,2026-09-02 18:58:04,ACCEPTED
TAP-20260902-00688,00114,Lumen Wireless,00102,Borealis Mobile,MOC,001020000000011,28,12.4220,1.8633,2026-09-02,2026-09-02 20:02:03,ACCEPTED
TAP-20260902-00689,00113,Kestrel Telecom,00108,Harbor Wireless,GPRS,001080000000013,755,8.1181,1.2177,2026-09-02,2026-09-02 07:50:59,ACCEPTED
TAP-20260902-00690,00116,Northwind Mobile,00101,Aurora Telecom,MOC,001010000000014,33,13.1185,1.9678,2026-09-02,2026-09-02 20:46:34,ACCEPTED
TAP-20260902-00691,00111,Ivory Cellular,00101,Aurora Telecom,SMS_MO,001010000000011,9,0.5086,0.0763,2026-09-02,2026-09-02 09:39:50,ACCEPTED
TAP-20260902-00692,00108,Harbor Wireless,00107,Granite Mobile,MTC,001070000000005,37,6.4760,0.9714,2026-09-02,2026-09-02 09:16:03,ACCEPTED
TAP-20260902-00693,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000002,889,10.4083,1.5612,2026-09-02,2026-09-02 15:53:09,ACCEPTED
TAP-20260902-00694,00101,Aurora Telecom,00111,Ivory Cellular,GPRS,001110000000012,432,4.5118,0.6768,2026-09-02,2026-09-02 20:06:05,ACCEPTED
TAP-20260902-00695,00116,Northwind Mobile,00101,Aurora Telecom,SMS_MO,001010000000004,3,0.1756,0.0263,2026-09-02,2026-09-02 05:35:16,ACCEPTED
TAP-20260902-00696,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000003,490,5.7699,0.8655,2026-09-02,2026-09-02 04:15:00,ACCEPTED
TAP-20260902-00697,00107,Granite Mobile,00108,Harbor Wireless,GPRS,001080000000012,334,3.5138,0.5271,2026-09-02,2026-09-02 11:21:41,ACCEPTED
TAP-20260902-00698,00119,Quartz Mobile,00106,Fjord Telecom,MTC,001060000000012,34,6.4654,0.9698,2026-09-02,2026-09-02 03:31:42,ACCEPTED
TAP-20260902-00699,00114,Lumen Wireless,00102,Borealis Mobile,MOC,001020000000009,9,4.0138,0.6021,2026-09-02,2026-09-02 22:52:56,ACCEPTED
TAP-20260902-00700,00112,Juniper Mobile,00101,Aurora Telecom,MOC,001010000000003,16,6.9969,1.0495,2026-09-02,2026-09-02 02:25:02,ACCEPTED
TAP-20260902-00701,00113,Kestrel Telecom,00108,Harbor Wireless,GPRS,001080000000002,379,4.1800,0.6270,2026-09-02,2026-09-02 04:55:16,ACCEPTED
TAP-20260902-00702,00112,Juniper Mobile,00101,Aurora Telecom,MOC,001010000000013,35,14.4142,2.1621,2026-09-02,2026-09-02 15:55:12,ACCEPTED
TAP-20260902-00703,00119,Quartz Mobile,00106,Fjord Telecom,GPRS,001060000000011,394,4.0863,0.6129,2026-09-02,2026-09-02 14:40:52,ACCEPTED
TAP-20260902-00704,00101,Aurora Telecom,00116,Northwind Mobile,MTC,001160000000005,37,6.7303,1.0095,2026-09-02,2026-09-02 13:08:00,ACCEPTED
TAP-20260902-00705,00119,Quartz Mobile,00103,Cinder  Wireless,SMS_MO,001030000000011,7,0.4059,0.0609,2026-09-02,2026-09-02 11:37:07,ACCEPTED
TAP-20260902-00706,00104,Delta Cell,00113,Kestrel Telecom,MOC,001130000000012,29,11.9342,1.7901,2026-09-02,2026-09-02 19:56:49,ACCEPTED
TAP-20260902-00707,00108,Harbor Wireless,00107,Granite Mobile,MOC,001070000000001,28,12.6298,1.8945,2026-09-02,2026-09-02 10:41:33,ACCEPTED
TAP-20260902-00708,00112,Juniper Mobile,00103,CINDER WIRELESS,GPRS,001030000000005,262,2.9724,0.4459,2026-09-02,2026-09-02 20:30:06,ACCEPTED
TAP-20260902-00709,00108,Harbor Wireless,00107,Granite Mobile,MOC,001070000000015,22,9.0661,1.3599,2026-09-02,2026-09-02 12:42:04,ACCEPTED
TAP-20260902-00710,00114,Lumen Wireless,00106,Fjord Telecom,MTC,001060000000009,10,1.8897,0.2835,2026-09-02,2026-09-02 10:00:54,ACCEPTED
TAP-20260902-00711,00106,Fjord Telecom,00119,Quartz Mobile,MOC,001190000000003,29,12.7722,1.9158,2026-09-02,2026-09-02 11:33:58,ACCEPTED
TAP-20260902-00712,00116,Northwind Mobile,00101,Aurora Telecom,MOC,001010000000005,12,5.2767,0.7915,2026-09-02,2026-09-02 11:26:36,ACCEPTED
TAP-20260902-00713,00114,Lumen Wireless,00104,Delta Cell,SMS_MO,001040000000007,10,0.6298,0.0945,2026-09-02,2026-09-02 08:38:25,ACCEPTED
TAP-20260902-00714,00111,Ivory Cellular,00101,Aurora Telecom,GPRS,001010000000004,836,8.5267,1.2790,2026-09-02,2026-09-02 02:57:57,ACCEPTED
TAP-20260902-00715,00111,Ivory Cellular,00101,Aurora Telecom,MTC,001010000000001,20,3.4847,0.5227,2026-09-02,2026-09-02 18:58:15,ACCEPTED
TAP-20260902-00716,00119,Quartz Mobile,00106,Fjord Telecom,SMS_MO,001060000000007,10,0.6408,0.0961,2026-09-02,2026-09-02 04:08:08,ACCEPTED
TAP-20260902-00717,00113,Kestrel Telecom,00102,Borealis Mobile,MOC,001020000000001,33,12.7792,1.9169,2026-09-02,2026-09-02 02:48:51,REJECTED
TAP-20260902-00718,00104,Delta Cell,00113,Kestrel Telecom,MOC,001130000000010,19,8.2589,1.2388,2026-09-02,2026-09-02 11:21:37,ACCEPTED
TAP-20260902-00719,00112,Juniper Mobile,00101,Aurora Telecom,SMS_MO,001010000000007,2,0.1156,0.0173,2026-09-02,2026-09-02 10:48:36,ACCEPTED
TAP-20260902-00720,00111,Ivory Cellular,00102,Borealis Mobile,SMS_MO,001020000000011,6,0.3693,0.0554,2026-09-02,2026-09-02 04:56:04,ACCEPTED
TAP-20260902-00721,00107,Granite Mobile,00108,Harbor Wireless,GPRS,001080000000014,78,0.9049,0.1357,2026-09-02,2026-09-02 07:29:08,ACCEPTED
TAP-20260902-00722,00111,Ivory Cellular,00102,Borealis Mobile,MOC,001020000000002,17,7.1293,1.0694,2026-09-02,2026-09-02 07:56:00,ACCEPTED
TAP-20260902-00723,00111,Ivory Cellular,00102,Borealis Mobile,MTC,001020000000005,36,6.6036,0.9905,2026-09-02,2026-09-02 06:29:24,ACCEPTED
TAP-20260902-00724,00111,Ivory Cellular,00101,Aurora Telecom,MTC,001010000000003,31,5.6776,0.8516,2026-09-02,2026-09-02 01:37:04,ACCEPTED
TAP-20260902-00725,00111,Ivory Cellular,00102,Borealis Mobile,MTC,001020000000008,15,2.6192,0.3929,2026-09-02,2026-09-02 09:20:15,ACCEPTED
TAP-20260902-00726,00108,Harbor Wireless,00107,Granite Mobile,GPRS,001070000000008,885,9.4620,1.4193,2026-09-02,2026-09-02 11:50:28,ACCEPTED
TAP-20260902-00727,00111,Ivory Cellular,00102,Borealis Mobile,GPRS,001020000000005,837,9.5876,1.4381,2026-09-02,2026-09-02 00:15:47,ACCEPTED
TAP-20260902-00728,00108,Harbor Wireless,00107,Granite Mobile,MTC,001070000000004,37,7.0721,1.0608,2026-09-02,2026-09-02 12:50:17,ACCEPTED
TAP-20260902-00729,00113,Kestrel Telecom,00104,Delta Cell,MOC,001040000000005,32,13.8468,2.0770,2026-09-02,2026-09-02 19:00:27,REJECTED
TAP-20260902-00730,00112,Juniper Mobile,00103,Cinder Wireless.,MTC,001030000000002,25,4.6465,0.6970,2026-09-02,2026-09-02 23:53:27,ACCEPTED
TAP-20260902-00731,00119,Quartz Mobile,00106,Fjord Telecom,MOC,001060000000005,22,8.5607,1.2841,2026-09-02,2026-09-02 01:44:25,ACCEPTED
TAP-20260902-00732,00119,Quartz Mobile,00106,Fjord Telecom,GPRS,001060000000006,631,6.6350,0.9952,2026-09-02,2026-09-02 08:51:20,ACCEPTED
TAP-20260902-00733,00108,Harbor Wireless,00107,Granite Mobile,GPRS,001070000000013,545,6.1713,0.9257,2026-09-02,2026-09-02 10:18:05,ACCEPTED
TAP-20260902-00734,00116,Northwind Mobile,00101,Aurora Telecom,SMS_MO,001010000000006,11,0.7106,0.1066,2026-09-02,2026-09-02 18:15:47,ACCEPTED
TAP-20260902-00735,00104,Delta Cell,00113,Kestrel Telecom,MTC,001130000000007,12,2.1683,0.3252,2026-09-02,2026-09-02 18:18:30,ACCEPTED
TAP-20260902-00736,00114,Lumen Wireless,00104,Delta Cell,SMS_MO,001040000000004,1,0.0622,0.0093,2026-09-02,2026-09-02 03:17:03,ACCEPTED
TAP-20260902-00737,00116,Northwind Mobile,00101,Aurora Telecom,MOC,001010000000007,38,16.9227,2.5384,2026-09-02,2026-09-02 00:16:49,ACCEPTED
TAP-20260902-00738,00102,Borealis Mobile,00114,Lumen Wireless,GPRS,001140000000014,218,2.5249,0.3787,2026-09-02,2026-09-02 18:26:01,ACCEPTED
TAP-20260902-00739,00106,Fjord Telecom,00119,Quartz Mobile,SMS_MO,001190000000007,5,0.2902,0.0435,2026-09-02,2026-09-02 21:38:14,DISPUTED
TAP-20260902-00740,00114,Lumen Wireless,00106,Fjord Telecom,MOC,001060000000008,15,6.5881,0.9882,2026-09-02,2026-09-02 16:36:29,ACCEPTED
TAP-20260902-00741,00103,Cinder Wireless,00112,Juniper Mobile,MTC,001120000000005,13,2.4705,0.3706,2026-09-02,2026-09-02 15:45:35,ACCEPTED
TAP-20260902-00742,00108,Harbor Wireless,00107,Granite Mobile,MTC,001070000000015,32,6.0680,0.9102,2026-09-02,2026-09-02 10:12:25,ACCEPTED
TAP-20260902-00743,00111,Ivory Cellular,00105,Ember Networks,GPRS,001050000000008,25,0.2546,0.0382,2026-09-02,2026-09-02 15:36:44,ACCEPTED
TAP-20260902-00744,00119,Quartz Mobile,00106,Fjord Telecom,GPRS,001060000000001,71,0.7660,0.1149,2026-09-02,2026-09-02 13:53:22,ACCEPTED
TAP-20260902-00745,00119,Quartz Mobile,00106,Fjord Telecom,MOC,001060000000007,8,3.3226,0.4984,2026-09-02,2026-09-02 17:19:15,ACCEPTED
TAP-20260902-00746,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000010,206,2.1820,0.3273,2026-09-02,2026-09-02 03:15:00,ACCEPTED
TAP-20260902-00747,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000005,155,1.8125,0.2719,2026-09-02,2026-09-02 15:27:01,ACCEPTED
TAP-20260902-00748,00111,Ivory Cellular,00102,Borealis Mobile,SMS_MO,001020000000013,3,0.1665,0.0250,2026-09-02,2026-09-02 03:47:31,ACCEPTED
TAP-20260902-00749,00113,Kestrel Telecom,00102,Borealis Mobile,SMS_MO,001020000000007,11,0.6165,0.0925,2026-09-02,2026-09-02 12:52:00,ACCEPTED
TAP-20260902-00750,00111,Ivory Cellular,00101,Aurora Telecom,MOC,001010000000009,24,9.9984,1.4998,2026-09-02,2026-09-02 14:13:22,ACCEPTED
TAP-20260902-00751,00116,Northwind Mobile,00101,Aurora Telecom,MTC,001010000000001,37,6.1957,0.9294,2026-09-02,2026-09-02 05:02:11,ACCEPTED
TAP-20260902-00752,00119,Quartz Mobile,00106,Fjord Telecom,SMS_MO,001060000000012,1,0.0639,0.0096,2026-09-02,2026-09-02 08:33:14,ACCEPTED
TAP-20260902-00753,00113,Kestrel Telecom,00102,Borealis Mobile,MOC,001020000000005,36,15.6164,2.3425,2026-09-02,2026-09-02 17:46:08,REJECTED
TAP-20260902-00754,00119,Quartz Mobile,00106,Fjord Telecom,GPRS,001060000000012,778,9.2063,1.3809,2026-09-02,2026-09-02 13:34:47,ACCEPTED
TAP-20260902-00755,00111,Ivory Cellular,00102,Borealis Mobile,MOC,001020000000011,6,2.6160,0.3924,2026-09-02,2026-09-02 19:20:39,ACCEPTED
TAP-20260902-00756,00114,Lumen Wireless,00102,Borealis Mobile,MOC,001020000000007,8,3.4226,0.5134,2026-09-02,2026-09-02 21:02:39,ACCEPTED
TAP-20260902-00757,00103,Cinder Wireless,00112,Juniper Mobile,MTC,001120000000001,20,3.6296,0.5444,2026-09-02,2026-09-02 11:13:01,ACCEPTED
TAP-20260902-00758,00101,Aurora Telecom,00111,Ivory Cellular,GPRS,001110000000005,139,1.6460,0.2469,2026-09-02,2026-09-02 20:38:32,ACCEPTED
TAP-20260902-00759,00119,Quartz Mobile,00106,Fjord Telecom,SMS_MO,001060000000004,3,0.1830,0.0274,2026-09-02,2026-09-02 07:16:25,ACCEPTED
TAP-20260902-00760,00106,Fjord Telecom,00119,Quartz Mobile,SMS_MO,001190000000010,3,0.1771,0.0266,2026-09-02,2026-09-02 07:35:56,ACCEPTED
TAP-20260902-00761,00114,Lumen Wireless,00102,Borealis Mobile,GPRS,001020000000013,503,5.1847,0.7777,2026-09-02,2026-09-02 12:28:03,ACCEPTED
TAP-20260902-00762,00116,Northwind Mobile,00101,Aurora Telecom,MOC,001010000000013,21,9.2348,1.3852,2026-09-02,2026-09-02 16:28:00,ACCEPTED
TAP-20260902-00763,00111,Ivory Cellular,00105,Ember Networks,MTC,001050000000013,23,3.8724,0.5809,2026-09-02,2026-09-02 15:11:36,ACCEPTED
TAP-20260902-00764,00111,Ivory Cellular,00102,Borealis Mobile,GPRS,001020000000014,89,0.9400,0.1410,2026-09-02,2026-09-02 18:20:29,ACCEPTED
TAP-20260902-00765,00104,Delta Cell,00113,Kestrel Telecom,MTC,001130000000012,32,5.5697,0.8355,2026-09-02,2026-09-02 23:53:36,ACCEPTED
TAP-20260902-00766,00116,Northwind Mobile,00105,Ember Networks,GPRS,001050000000001,264,3.1340,0.4701,2026-09-02,2026-09-02 04:58:16,ACCEPTED
TAP-20260902-00767,00112,Juniper Mobile,00101,Aurora Telecom,MTC,001010000000002,6,1.1563,0.1734,2026-09-02,2026-09-02 21:52:05,ACCEPTED
TAP-20260902-00768,00113,Kestrel Telecom,00104,Delta Cell,GPRS,001040000000006,632,7.0931,1.0640,2026-09-02,2026-09-02 20:33:44,ACCEPTED
TAP-20260902-00769,00107,Granite Mobile,00108,Harbor Wireless,MTC,001080000000010,24,4.1551,0.6233,2026-09-02,2026-09-02 06:50:27,ACCEPTED
TAP-20260902-00770,00113,Kestrel Telecom,00102,Borealis Mobile,MOC,001020000000005,39,16.0995,2.4149,2026-09-02,2026-09-02 10:16:07,ACCEPTED
TAP-20260902-00771,00106,Fjord Telecom,00119,Quartz Mobile,MOC,001190000000009,16,6.8918,1.0338,2026-09-02,2026-09-02 19:21:36,ACCEPTED
TAP-20260902-00772,00112,Juniper Mobile,00103,Cinder Wireless,GPRS,001030000000004,381,4.0001,0.6000,2026-09-02,2026-09-02 18:15:14,ACCEPTED
TAP-20260902-00773,00106,Fjord Telecom,00119,Quartz Mobile,MOC,001190000000008,33,13.4804,2.0221,2026-09-02,2026-09-02 12:11:30,ACCEPTED
TAP-20260902-00774,00106,Fjord Telecom,00119,Quartz Mobile,MTC,001190000000002,24,4.1142,0.6171,2026-09-02,2026-09-02 14:46:20,ACCEPTED
TAP-20260902-00775,00113,Kestrel Telecom,00104,Delta Cell,MTC,001040000000013,18,3.3721,0.5058,2026-09-02,2026-09-02 10:14:22,ACCEPTED
TAP-20260902-00776,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000005,146,1.6257,0.2439,2026-09-02,2026-09-02 07:12:22,ACCEPTED
TAP-20260902-00777,00103,CINDER WIRELESS,00112,Juniper Mobile,MTC,001120000000001,33,6.0091,0.9014,2026-09-02,2026-09-02 04:45:02,ACCEPTED
TAP-20260902-00778,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000003,315,3.2857,0.4929,2026-09-02,2026-09-02 12:54:30,ACCEPTED
TAP-20260902-00779,00106,Fjord Telecom,00119,Quartz Mobile,MOC,001190000000011,19,7.6009,1.1401,2026-09-02,2026-09-02 11:41:57,ACCEPTED
TAP-20260902-00780,00113,Kestrel Telecom,00102,Borealis Mobile,GPRS,001020000000001,640,7.4234,1.1135,2026-09-02,2026-09-02 04:31:54,REJECTED
TAP-20260902-00781,00106,Fjord Telecom,00119,Quartz Mobile,GPRS,001190000000003,390,4.0747,0.6112,2026-09-02,2026-09-02 12:43:47,DISPUTED
TAP-20260902-00782,00111,Ivory Cellular,00101,Aurora Telecom,MOC,001010000000005,37,15.6318,2.3448,2026-09-02,2026-09-02 08:30:26,ACCEPTED
